Stockley			Pomelo2013	
1946	1		1976	1
1947	1		1978	1
1956	3		1982	2
1959	1		1986	1
1960	1		1989	2
1961	1		1990	1
1962	1		1993	1
1963	1		1994	4
1964	6		1995	8
1965	4		1996	11
1966	3		1997	18
1967	2		1998	25
1968	4		1999	18
1969	2		2000	14
1970	1		2001	28
1971	4		2002	39
1973	1		2003	32
1974	3		2004	25
1975	5		2005	49
1976	6		2006	35
1977	9		2007	45
1978	10		2008	32
1979	13		2009	44
1980	8		2010	49
1981	17		2011	62
1982	20		2012	66
1983	18		2013	26
1984	24			
1985	22			
1986	24			
1987	24			
1988	21			
1989	32			
1990	28			
1991	39			
1992	16			
1993	15			
1994	21			
1995	29			
1996	30			
1997	19			
1998	34			
1999	38			
2000	28			
2001	45			
2002	32			
2003	42			
2004	44			
2005	23			
2006	21			
2007	2			
2008	1			
2014	1			
2017	1			
